2021	38500	495000
2021	14000	499500
2015	175000	305000
2021	15	499750
2016	68000	328000
2015	54000	380000
2017	51000	315000
2013	164000	349000
2018	37700	525000
2019	24000	430000
2020	13500	485000
2020	21000	463500
2016	156000	400000
2012	146000	315000
2015	90000	335000
2014	103000	307000
2015	143000	355000
2017	83000	399000
2019	58000	429900
2012	150000	269000
2013	113000	330000
2021	2650	550000
2017	83000	410000
2015	184000	264900
2015	77000	305000
2021	0	495000
2021	25950	445000
2019	39000	470000
2021	41000	470000
2020	10100	450000
2013	135000	330000
2020	24500	415750
2015	135000	317500
2021	15500	485000
2021	13000	448000
2019	44000	407000
2013	155500	337500
2019	57000	455000
2013	128000	335000
2020	14250	495000
2013	138000	327000
2020	22500	470000
2015	73000	385000
2013	124000	245000
2021	750	489500
2020	32000	420000
2018	59616	356000
2012	107000	325000
2015	59000	375000
2021	9	495000
2020	37000	475000
2020	26000	422000
2012	145000	330000
2017	82800	416000
2013	128400	275000
2021	3000	544000
2016	103500	358500
2015	105000	370000
2013	83000	310500
2019	27000	445000
2015	85000	330000
2014	179000	316500
2020	21500	489000
2017	38763	410000
2020	19400	475000
2016	75000	379000
2020	18500	449000
2013	160800	249000
2014	81000	355000
2016	51000	365000
2015	129000	370000
2013	81000	314500
2020	39500	438000
2021	7500	485000
2021	12000	490000
2013	122000	350000
2020	18000	468000
2015	164500	322000
2014	107000	335000
2015	85000	362000
2019	17000	525000
2015	94000	370000
2016	81000	385000
2019	30800	478000
2014	124000	367500
2012	175000	300001
2016	103000	395000
2021	4850	525000
2017	95000	375000
2012	64000	355000
2020	21000	460000
2020	18500	458000
2012	171000	260000
2020	12600	445000
2021	14000	465000
2020	21000	455000
2017	86000	435000
2021	6500	524000
2013	175400	288000
2014	90000	330000
2021	2000	384500
2012	140000	335000
2013	180000	290000
2012	140000	335000
2013	180000	290000
2016	160000	390000
2021	1600	550000
2013	123000	255000
2021	5	463000
2016	117000	360000
2019	13900	443000
2019	42000	392750
2015	60000	368750
2012	147000	212500
2013	160000	348000
2017	42000	417000
2019	39000	438000
2013	161000	333000
2014	108000	355000
2013	125000	335750
2016	98000	367500
2017	100000	391000
2018	35350	429500
2014	59000	332000
2019	32000	415000
2021	0	490000
2012	110000	333000
2020	22000	545000
2017	160000	395000
2018	60000	373750
2017	40000	384500
2012	110000	355000
2018	73000	485000
2012	142000	298500
2017	86000	398000
2021	12000	469750
2015	136000	320000
2014	88000	400000
2021	6600	470000
2019	20000	450000
2021	0	485000
2018	36000	430000
2020	22000	420000
2014	97000	365000
2017	90000	425000
2019	23000	442000
2020	8500	490000
2015	90000	344000
2018	55000	447500
2021	7	492000
2015	55400	385000
2018	118000	370000
2013	107000	295000
2013	120000	302500
2012	57000	350000
2021	9900	472000
2015	109744	343000
2021	2750	469000
2016	98000	395000
2013	159715	328000
2017	94500	385000
2013	95000	370000
2020	38000	485000
2012	165625	353500
2016	188500	357000
2020	5950	467500
2021	9000	533000
2019	39000	457750
2018	150000	339000
2019	35000	455000
2013	95550	329500
2012	65000	360000
2020	32500	430000
2021	99	474900
2021	7000	479000
2012	199000	290750
2017	60000	445000
2020	3000	443500
2012	145000	233000
2021	2250	485000
2017	75100	395000
2020	22313	480000
2021	19000	411900
2015	85500	325000
2018	19000	407900
2016	97000	400000
2020	19650	495000
2013	135000	310000
2021	4900	548000
2020	4800	498000
2020	22000	445000
2018	50500	475000
2018	85000	395000
2012	152000	273000
2021	5000	490000
2014	88500	305000
2012	168000	305000
2013	149700	328000
2014	129094	299900
2020	8000	424000
2017	116500	395000
2019	48000	449900
2021	7750	519750
2012	181000	259950
2020	43000	479900
2018	60000	448500
2014	179000	305000
2021	6500	500000
2020	21700	463000
2019	33000	429000
2018	119000	425900
2017	105000	395000
2021	35000	482000
2021	14000	465000
2015	96400	335000
2015	114500	327000
2021	0	495000
2012	108000	317000
2021	8460	446000
2021	0	505000
2020	10000	482500
2015	160000	291000
2014	94000	317000
2012	120000	320000
2016	83000	420000
2013	179841	285000
2019	46000	480000
2020	9800	455000
2017	47000	445000
2020	14000	478500
2014	76500	355000
2012	150000	218750
2020	100	498500
2020	8350	467500
2019	43000	445000
2020	19500	488000
2021	7500	465000
2021	9300	605000
2015	96000	320000
2019	11500	432000
2021	17000	427000
2014	59000	365000
2013	153000	335000
2014	130000	285000
2018	50000	460000
2020	20000	453000
2014	35000	378500
2016	73580	368000
2017	63500	439000
2020	16000	435000
2020	19000	479900
2014	143000	362000
2012	217000	259500
2021	2250	515000
2013	178000	227000
2020	30000	507000
2020	12800	425000
2020	20000	430000
2017	55000	309750
2020	19000	475000
2021	8000	515000
2015	170500	307100
2021	5000	505000
2019	23000	420000
2012	94000	280000
2012	92000	325000
2017	67000	405000
2016	130000	360000
2016	88000	343500
2012	170000	295000
2014	126000	350000
2020	15000	437000
2017	36000	445000
2021	3500	447500
2013	84100	340000
2021	0	530000
2021	21600	525000
2015	86000	357000
2014	92000	368000
2021	12500	450000
2021	8500	375000
2021	9400	482000
2018	46500	418000
2016	67000	341000
2017	150000	352000
2016	77000	370000
2018	50000	350000
2020	19900	460000
2021	5800	478000
2018	50000	440000
2018	98000	395000
2017	97000	375000
2015	112000	351000
2021	26000	567500
2012	92000	355000
2021	4000	460000
2021	10990	445000
2020	30000	417000
2015	71000	410000
2012	108000	340000
